Locality,Dx Year,Sex,Race,All Sites**,Oral,Colorectal,Liver,Pancreas,Lung,Melanoma,Breast,Cervix,Ovary,Prostate,Kidney,Brain and CNS,Thyroid,Hodgkin Lymphoma,Non-Hodgkin Lymphoma,Myeloma,Leukemia
HD_Alexandria,2011-2015,All,White,346.8,9.8,27.1,5,8.1,37.1,18.2,67,^,7.5,35.7,9.9,4.5,19,^,12.4,^,7.8
HD_Alexandria,2011-2015,All,All,351.7,9.7,28.1,6.9,8.2,38.3,14.2,65.3,3.1,6.4,40.4,11,5,18.1,^,13,3.4,8.3
HD_Alleghany,2006,Male,Black,594.6,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,Male,White,511.7,^,46.1,^,^,84.7,24.2,^,^,^,151.4,18.9,^,^,^,26.6,^,^
HD_Alleghany,2006,Male,All,515.2,^,49.2,^,^,81.6,22.9,^,^,^,153.5,19.5,^,^,^,31,^,^
HD_Alleghany,2006,Female,Black,361.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,Female,White,387,^,38.9,^,^,52,17,121.9,^,^,^,^,^,^,^,14.6,^,^
HD_Alleghany,2006,Female,All,385.5,^,38.4,^,^,52,15.9,121.2,^,^,^,^,^,^,^,14.5,^,^
HD_Alleghany,2006,All,Black,458.3,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2006,All,White,439.6,^,42.4,^,7.3,66.9,20.4,66.3,^,^,68,13.7,^,11.1,^,19.3,^,14.3
HD_Alleghany,2006,All,All,440.5,^,43.4,^,9.8,65.4,19.2,65.9,^,^,68.9,13.7,^,10.4,^,21.4,^,13.4
HD_Alleghany,2007,Male,Black,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2007,Male,White,518.2,16.8,55.1,^,^,80.3,29.9,^,^,^,150.9,16.2,^,^,^,17.8,^,^
HD_Alleghany,2007,Male,All,511.2,18.6,54,^,^,81.4,28.1,^,^,^,150.6,15.4,^,^,^,18.8,^,^
HD_Alleghany,2007,Female,Black,365.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2007,Female,White,388.9,^,40.4,^,^,44.1,23,133.1,^,^,^,^,^,^,^,14.6,^,^
HD_Alleghany,2007,Female,All,386,^,40.3,^,^,43.7,21.5,132.8,^,^,^,^,^,^,^,13.9,^,^
HD_Alleghany,2007,All,Black,339.3,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2007,All,White,442.5,11.9,46,^,9.1,60.2,25.3,72.5,^,^,67.6,10.6,^,10.6,^,16.5,8.1,9.7
HD_Alleghany,2007,All,All,437.4,12.5,45.4,^,9.4,60.5,23.7,72.2,^,^,67.2,10.4,^,10.2,^,16.6,8.1,9.2
HD_Alleghany,2008,Male,Black,536.7,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2008,Male,White,513,26,40.7,^,20.2,89.8,26.9,^,^,^,142.3,22.3,^,^,^,26,^,^
HD_Alleghany,2008,Male,All,515.4,28.1,39.4,^,20.2,87.9,25.4,^,^,^,150.1,21.2,^,^,^,27.5,^,^
HD_Alleghany,2008,Female,Black,424.8,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2008,Female,White,399.7,^,29.5,^,^,53.4,27.8,133.6,^,12.9,^,^,^,^,^,18.8,^,^
HD_Alleghany,2008,Female,All,401,^,32.3,^,^,51.5,27,134.3,^,13,^,^,^,^,^,17.9,^,^
HD_Alleghany,2008,All,Black,485.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2008,All,White,446.4,14.8,34.9,^,13.4,69,26.9,72.4,^,7.3,63.7,14.4,8.3,8.1,^,22.4,8.3,10.5
HD_Alleghany,2008,All,All,448.4,16.1,35.7,^,13.7,67.1,25.8,72.7,^,7.3,67.4,13.6,7.8,8.8,^,22.6,8.9,9.8
HD_Alleghany,2009,Male,Black,535.7,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2009,Male,White,511.5,17,42.9,^,^,98.7,33.6,^,^,^,105.9,23.2,^,^,^,30.7,^,^
HD_Alleghany,2009,Male,All,514.1,16.1,42.5,^,14.3,101.2,31.5,^,^,^,108.8,23.4,^,^,^,29.9,^,^
HD_Alleghany,2009,Female,Black,406,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2009,Female,White,413.5,^,32.1,^,^,48.5,19,121.9,^,15.2,^,^,^,22.4,^,16.9,^,^
HD_Alleghany,2009,Female,All,412.7,^,32.6,^,^,48.6,18.8,119.8,^,15.8,^,^,^,21.6,^,17.4,^,14.1
HD_Alleghany,2009,All,Black,465.2,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2009,All,White,451.5,9.2,36.8,^,10.8,70.1,25.7,66.2,^,8.3,46.7,13.5,^,14.4,^,22.9,7.2,12.1
HD_Alleghany,2009,All,All,452.3,8.7,36.9,7,11.7,71.1,24.6,65.1,^,8.6,48.2,13.8,^,13.8,^,22.8,6.8,12.1
HD_Alleghany,2010,Male,Black,388.3,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2010,Male,White,407.5,^,51.4,^,^,79.4,30.6,^,^,^,76.9,^,^,^,^,19.3,^,^
HD_Alleghany,2010,Male,All,411.6,^,49.4,^,^,77.9,29.8,^,^,^,80.4,^,^,^,^,19.3,^,^
HD_Alleghany,2010,Female,Black,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2010,Female,White,371.5,^,21.3,^,^,50.4,18.6,124,^,^,^,^,^,27,^,15.9,^,^
HD_Alleghany,2010,Female,All,362.1,^,20.9,^,^,48.7,17.4,123.7,^,^,^,^,^,24.9,^,16,^,^
HD_Alleghany,2010,All,Black,306.8,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2010,All,White,382.4,8.3,35.1,^,7.8,62.5,23.7,67.2,^,^,34.8,11.2,^,16.2,^,16.8,^,10.1
HD_Alleghany,2010,All,All,379.3,8.6,33.9,^,7.8,60.9,22.7,67,^,^,36.4,11.2,^,15,^,16.8,^,9.9
HD_Alleghany,2011,Male,Black,464.2,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2011,Male,White,459.8,16.5,41.9,^,20.1,81,24.3,^,^,^,109,17.8,^,^,^,19.3,^,^
HD_Alleghany,2011,Male,All,460.6,16.4,41.1,^,19.8,81.5,23,^,^,^,115.1,16.9,^,^,^,18.3,^,^
HD_Alleghany,2011,Female,Black,370.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2011,Female,White,426.5,^,44.6,^,^,49.1,29.1,126.1,^,17.2,^,^,^,18.3,^,17.4,^,^
HD_Alleghany,2011,Female,All,425.3,^,42.8,^,^,50,28.7,126.4,^,16.1,^,^,^,18.5,^,19.2,^,^
HD_Alleghany,2011,All,Black,424.2,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2011,All,White,437.6,10.1,43.3,^,14.3,63.9,26.2,70.2,^,9.3,48.5,12.6,^,12.8,^,17.9,^,7.8
HD_Alleghany,2011,All,All,437.7,10,41.9,^,13.9,64.8,25.4,70.3,^,8.7,51.5,12.7,^,12.6,^,18.3,^,7.4
HD_Alleghany,2012,Male,Black,851.4,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2012,Male,White,471,18.7,47.9,^,16.9,72.3,37.3,^,^,^,87.9,16.3,^,^,^,19.8,^,^
HD_Alleghany,2012,Male,All,481.4,17.4,51.1,14.1,17.1,73.4,35.3,^,^,^,95.2,18,^,^,^,18.6,^,^
HD_Alleghany,2012,Female,Black,303.2,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2012,Female,White,457.1,^,28.7,^,14.5,46.2,43.2,150.3,^,^,^,13.7,^,20.4,^,12.2,^,^
HD_Alleghany,2012,Female,All,449.4,^,29.2,^,14.3,44.4,41,149.8,^,^,^,13.5,^,18.7,^,12.1,^,^
HD_Alleghany,2012,All,Black,512.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2012,All,White,458.2,13.9,37,7,15.3,57.4,39.6,81.4,^,^,39.8,14.9,^,14.2,^,16,^,7.6
HD_Alleghany,2012,All,All,458.4,13.3,38.7,8.3,15.2,56.8,37.6,81.1,^,^,43,15.5,8.6,13.1,^,15.4,^,7.2
HD_Alleghany,2013,Male,Black,583.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2013,Male,White,496.8,21.8,42.7,^,^,66.7,48.5,^,^,^,91.5,17.9,^,^,^,25.2,^,^
HD_Alleghany,2013,Male,All,507.2,21.7,41.3,^,13.2,66.7,45.9,^,^,^,101.4,16.9,^,^,^,25.6,^,^
HD_Alleghany,2013,Female,Black,385.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2013,Female,White,434.1,^,25.4,^,12.2,50.4,37.8,141.8,^,^,^,^,^,^,^,21.7,^,^
HD_Alleghany,2013,Female,All,428.2,^,26.7,^,11.6,49.6,35.2,142.2,^,^,^,13.6,^,17.2,^,20.3,^,^
HD_Alleghany,2013,All,Black,472.5,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
HD_Alleghany,2013,All,White,456.8,12.6,33.1,^,12.8,56.9,41.5,76,^,^,41.5,15.5,^,11.5,^,23.4,7.5,9.3
HD_Alleghany,2013,All,All,458.7,12.4,33.2,^,12.5,56.4,38.8,76.2,^,^,46.4,15.1,^,10.9,^,22.9,7.8,9.2
HD_Alleghany,2014,Male,Black,494.9,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
